"","cname","chossz","cmin","cmax","cmean","cmedian","csd","c_expC","c_expbeta","c_expR2","c_logC","c_logbeta","c_logR2","c_tend","km2","pop","GDP","GDPpc","InIE","HDI","FSI","RLI","CPI","IEF","GPI","WPFI","DemI"
"1","Australia",20,4,128,29.3617021276596,15,30.5908664487173,-14.3966886138748,0.106141478937039,0.918770503808552,-6.86294361784309e-07,1.3199804783492e-06,0.50182923661822,"exp",7741220,24598933,1192065505301,48460,"34.7",0.938,"19.7","0.80",77,80.9,"1.419",16.55,9.09
"2","Austria",10,2,302,73,29,91.8844382907138,-13.1901593906451,0.298727877096527,0.997045379279833,-5.16688739107943e-06,1.23642502081882e-05,0.648511293964371,"exp",83879,8809212,461582926400,52398,"30.5",0.914,"25.0","0.82",77,72,"1.291",15.33,8.29
"3","Belgium",9,1,314,45.6315789473684,1,94.4701929403995,-12.7855567525369,0.301767856845123,0.810753483250651,-1.80453263824298e-06,1.28427643776686e-05,0.934996412205364,"log",30530,11372068,544041974958,47840,"27.7",0.919,"28.6","0.79",75,67.3,"1.533",12.07,7.64
"4","Canada",13,1,117,20.1063829787234,8,27.5201381146632,-14.5951667192199,0.148044627447669,0.990128062464586,-1.29700884019459e-07,9.43283240966537e-07,0.660844315168509,"exp",9984670,36708083,1714447151944,46705,"34.0",0.922,"20.0","0.81",77,77.7,"1.327",15.69,9.22
"5","Czechia",5,3,94,29.6666666666667,18.5,31.7585588559377,-13.2370517233412,0.329548745760142,0.822885204311778,1.62126759025138e-06,3.98658283152258e-06,0.59620761784265,"exp",78870,10591323,384753663283,36327,"25.9",0.891,"37.6","0.73",56,73.7,"1.383",24.89,7.69
"6","Denmark",7,1,617,102.866666666667,11,189.001839245271,-13.4189083170248,0.626464936976534,0.94395991666034,-2.10699982383675e-05,4.78372010311191e-05,0.56503626007917,"exp",42922,5769603,296350723354,51364,"28.2",0.93,"19.5","0.90",87,76.7,"1.316",9.87,9.22
"7","Finland",5,1,59,7.13636363636364,1,14.0903907699801,-12.6143103998568,0.25604265181967,0.932946348243207,3.41391022795205e-06,4.43142407256746e-06,0.848859467392929,"exp",338420,5511303,247269243619,44866,"27.1",0.925,"16.9","0.87",86,74.9,"1.488",7.9,9.25
"8","France",15,2,2284,244.755102040816,12,561.095896832419,-14.4209744674056,0.297844985730563,0.982697734228124,-1.02538492025613e-05,1.1756820212939e-05,0.565898659696493,"exp",549087,67118648,2876059993399,42850,"32.7",0.891,"32.0","0.73",69,63.8,"1.892",22.21,8.12
"9","Germany",16,1,2078,237.739130434783,16,504.022284991563,-15.0093673948856,0.297571527967497,0.981778481016643,-7.57708845410996e-06,8.11477701329283e-06,0.566915602463123,"exp",357380,82695000,4187583088239,50639,"31.7",0.939,"24.7","0.84",80,73.5,"1.547",14.6,8.68
"10","Greece",8,1,99,37.3125,20,37.6629238553426,-12.7779387815764,0.167264288584484,0.902554128608598,2.08290943078739e-06,3.29240354088913e-06,0.894323158031519,"exp",131960,10760421,297008117389,27602,"36.0",0.872,"53.9","0.62",48,57.7,"1.933",29.08,7.43
